snr,object_side_size,trial,environment_transformation,object_transformation,transformation_inferred,agents_action,mu_env,sigma_env,mu_obj,saliency
0,5,75,2,4,3,1,,,141.48,
0,5,76,2,2,2,3,,,141.48,
0,5,77,3,2,2,3,,,141.48,
0,5,78,2,4,4,1,,,141.48,
0,5,79,4,2,2,1,,,141.48,
0,5,80,4,0,0,3,,,141.48,
0,5,81,1,4,3,3,,,141.48,
0,5,82,1,3,3,2,,,141.48,
0,5,83,3,2,1,3,,,141.48,
0,5,84,3,0,1,3,,,141.48,
0,5,85,2,4,4,3,,,141.48,
0,5,86,3,0,1,3,,,141.48,
0,5,87,3,1,1,3,,,141.48,
0,5,88,4,2,1,2,,,141.48,
0,5,89,3,4,4,4,,,141.48,
0,5,90,4,2,0,2,,,141.48,
0,5,91,0,1,1,4,,,141.48,
0,5,92,4,3,3,1,,,141.48,
0,5,93,4,1,2,0,,,141.48,
0,5,94,3,3,1,1,,,141.48,
0,5,95,0,0,0,1,,,141.48,
0,5,96,3,4,2,4,,,141.48,
0,5,97,2,2,0,3,,,141.48,
0,5,98,2,3,4,2,,,141.48,
0,5,99,2,4,2,0,,,141.48,
0,6,0,1,2,0,0,,,141.48,
0,6,1,2,2,2,3,,,141.48,
0,6,2,3,4,1,3,,,141.48,
0,6,3,4,0,3,1,,,141.48,
0,6,4,4,2,0,1,,,141.48,
0,6,5,3,1,1,3,,,141.48,
0,6,6,4,1,2,2,,,141.48,
0,6,7,0,4,3,3,,,141.48,
0,6,8,0,1,1,2,,,141.48,
0,6,9,4,4,1,1,,,141.48,
0,6,10,2,3,3,0,,,141.48,
0,6,11,1,4,4,3,,,141.48,
0,6,12,1,3,3,2,,,141.48,
0,6,13,3,4,4,4,,,141.48,
0,6,14,4,2,0,4,,,141.48,
0,6,15,3,4,4,0,,,141.48,
0,6,16,3,2,3,2,,,141.48,
0,6,17,0,2,2,0,,,141.48,
0,6,18,4,4,2,0,,,141.48,
0,6,19,2,4,4,4,,,141.48,
0,6,20,3,0,0,1,,,141.48,
0,6,21,4,2,2,1,,,141.48,
0,6,22,0,0,0,0,,,141.48,
0,6,23,1,4,0,4,,,141.48,
0,6,24,0,3,1,4,,,141.48,
0,6,25,3,2,2,2,,,141.48,
0,6,26,4,0,0,2,,,141.48,
0,6,27,1,1,4,0,,,141.48,
0,6,28,4,3,2,1,,,141.48,
0,6,29,3,1,1,1,,,141.48,
0,6,30,4,2,2,4,,,141.48,
0,6,31,1,4,4,0,,,141.48,
0,6,32,4,4,2,2,,,141.48,
0,6,33,0,0,0,1,,,141.48,
0,6,34,0,3,3,4,,,141.48,
0,6,35,4,1,2,2,,,141.48,
0,6,36,1,0,0,4,,,141.48,
0,6,37,1,2,0,4,,,141.48,
0,6,38,4,2,2,2,,,141.48,
0,6,39,1,0,2,1,,,141.48,
0,6,40,4,1,0,1,,,141.48,
0,6,41,2,0,2,0,,,141.48,
0,6,42,1,1,1,0,,,141.48,
0,6,43,2,2,2,2,,,141.48,
0,6,44,2,4,3,2,,,141.48,
0,6,45,0,0,0,0,,,141.48,
0,6,46,4,3,2,2,,,141.48,
